,Initial,Scénario 1 (Base),Scénario 2 (VLT),Scénario 3 (TNR),Scénario 4 (SPV),Scénario 5 (NAT)
Passagers avions (x 1000),3291.789,1806.217,1635.945,2550.659,2422.666,2858.986
Passagers train (x 1000),0.0,1485.572,1655.844,741.13,869.123,432.803
CO2 vols avions (kt),145.32202799999993,60.05741459346839,54.742384372966214,82.36005099866685,78.48746078120412,91.46846658227224
CO2 construction nouveaux avions (kt),0.0,1.557666666666667,1.419,2.189666666666666,2.059166666666666,2.4598333333333344
CO2 train (kt),0.0,18.652093999999995,3.201256999999999,9.154552999999996,10.804408999999998,5.287684999999997
Delta CO2,0.0,65.05485273986491,85.95938662703374,51.61775733466644,53.970991552129185,46.10604308439433
