,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
0,Hannover,Hamburg,131.683,2171.0,4.214
1,Hannover,Munich,480.251,2171.0,15.368
2,Munster,Munich,511.488,1505.0,16.368
3,Stuttgart,Berlin,516.935,2171.0,16.542
4,Dresden,Munich,340.373,2171.0,10.892
5,Bremen,Munich,562.91,2171.0,18.013
6,Stuttgart,Munich,192.499,2171.0,6.16
7,Hamburg,Frankfurt-am-Main,411.635,2171.0,13.172
8,Paderborn,Munich,427.442,1505.0,13.678
9,Cologne,Berlin,463.183,2171.0,14.822
10,Frankfurt-am-Main,Berlin,431.689,2171.0,13.814
11,Hannover,Frankfurt-am-Main,280.756,2171.0,8.984
12,Munich,Berlin,479.569,2171.0,15.346
13,Frankfurt-am-Main,Munich,299.073,2171.0,9.57
14,Cologne,Munich,435.688,2171.0,13.942
15,Berlin,Munich,479.569,2171.0,15.346
16,Hamburg,Munich,599.997,2171.0,19.2
17,Munich,Hamburg,599.997,2171.0,19.2
18,Dusseldorf,Frankfurt-am-Main,188.621,2171.0,6.036
19,Berlin,Dusseldorf,469.707,2171.0,15.031
20,Dusseldorf,Berlin,469.707,2171.0,15.031
21,Munich,Cologne,435.688,2171.0,13.942
22,Dusseldorf,Stuttgart,337.664,2171.0,10.805
23,Dusseldorf,Munich,485.703,2171.0,15.542
24,Leipzig,Frankfurt-am-Main,300.753,2171.0,9.624
25,Frankfurt-am-Main,Hamburg,411.635,2171.0,13.172
26,Berlin,Frankfurt-am-Main,431.689,2171.0,13.814
27,Nuremberg,Frankfurt-am-Main,189.644,2171.0,6.069
28,Berlin,Stuttgart,516.935,2171.0,16.542
29,Berlin,Baden-Baden,557.711,1505.0,17.847
30,Dresden,Frankfurt-am-Main,386.746,2171.0,12.376
31,Munich,Hannover,480.251,2171.0,15.368
32,Hamburg,Nuremberg,465.54,2171.0,14.897
33,Cologne,Dresden,464.421,2171.0,14.861
34,Cologne,Leipzig,360.623,2171.0,11.54
35,Bremen,Frankfurt-am-Main,335.494,2171.0,10.736
36,Dusseldorf,Leipzig,380.742,2171.0,12.184
37,Berlin,Cologne,463.183,2171.0,14.822
38,Stuttgart,Hannover,420.5,2171.0,13.456
39,Hamburg,Dusseldorf,340.787,2171.0,10.905
40,Munich,Dusseldorf,485.703,2171.0,15.542
41,Stuttgart,Dusseldorf,337.664,2171.0,10.805
42,Saarbrucken,Berlin,570.784,1505.0,18.265
43,Frankfurt-am-Main,Bremen,335.494,2171.0,10.736
44,Dortmund,Munich,461.418,2171.0,14.765
45,Munster,Frankfurt-am-Main,241.713,1505.0,7.735
46,Stuttgart,Frankfurt-am-Main,156.642,2171.0,5.013
47,Friedrichshafen,Frankfurt-am-Main,271.501,1505.0,8.688
48,Munich,Munster,511.488,1505.0,16.368
49,Frankfurt-am-Main,Hannover,280.756,2171.0,8.984
50,Frankfurt-am-Main,Dresden,386.746,2171.0,12.376
51,Hamburg,Cologne,363.277,2171.0,11.625
52,Munich,Frankfurt-am-Main,299.073,2171.0,9.57
53,Kassel,Hamburg,248.965,1505.0,7.967
54,Dusseldorf,Hamburg,340.787,2171.0,10.905
55,Frankfurt-am-Main,Leipzig,300.753,2171.0,9.624
56,Munich,Bremen,562.91,2171.0,18.013
57,Frankfurt-am-Main,Stuttgart,156.642,2171.0,5.013
58,Stuttgart,Dresden,423.947,2171.0,13.566
59,Nuremberg,Berlin,373.772,2171.0,11.961
60,Frankfurt-am-Main,Nuremberg,189.644,2171.0,6.069
61,Stuttgart,Leipzig,372.387,2171.0,11.916
62,Saarbrucken,Hamburg,529.934,1505.0,16.958
63,Hamburg,Stuttgart,551.919,2171.0,17.661
64,Friedrichshafen,Dusseldorf,447.894,1505.0,14.333
65,Stuttgart,Bremen,485.492,2171.0,15.536
66,Friedrichshafen,Hamburg,663.448,1505.0,21.23
67,Stuttgart,Hamburg,551.919,2171.0,17.661
68,Munich,Dresden,340.373,2171.0,10.892
69,Munich,Paderborn,427.442,1505.0,13.678
70,Munich,Leipzig,342.888,2171.0,10.972
71,Munich,Stuttgart,192.499,2171.0,6.16
72,Leipzig,Cologne,360.623,2171.0,11.54
73,Dresden,Cologne,464.421,2171.0,14.861
74,Hannover,Stuttgart,420.5,2171.0,13.456
75,Nuremberg,Hamburg,465.54,2171.0,14.897
76,Munich,Nuremberg,137.395,2171.0,4.397
77,Stuttgart,Hahn,199.236,1505.0,6.376
78,Leipzig,Dusseldorf,380.742,2171.0,12.184
79,Munich,Dortmund,461.418,2171.0,14.765
80,Baden-Baden,Berlin,557.711,1505.0,17.847
81,Berlin,Nuremberg,373.772,2171.0,11.961
82,Berlin,Saarbrucken,570.784,1505.0,18.265
83,Leipzig,Stuttgart,372.387,2171.0,11.916
84,Cologne,Hamburg,363.277,2171.0,11.625
85,Bremen,Stuttgart,485.492,2171.0,15.536
86,Dresden,Stuttgart,423.947,2171.0,13.566
87,Hamburg,Friedrichshafen,663.448,1505.0,21.23
88,Frankfurt-am-Main,Munster,241.713,1505.0,7.735
89,Frankfurt-am-Main,Friedrichshafen,271.501,1505.0,8.688
90,Hamburg,Saarbrucken,529.934,1505.0,16.958
91,Frankfurt-am-Main,Dusseldorf,188.621,2171.0,6.036
92,Leipzig,Munich,342.888,2171.0,10.972
93,Nuremberg,Munich,137.395,2171.0,4.397
94,Dusseldorf,Friedrichshafen,447.894,1505.0,14.333
95,Frankfurt-am-Main,Paderborn,175.811,1505.0,5.626
96,Dusseldorf,Dresden,488.487,2171.0,15.632
97,Paderborn,Frankfurt-am-Main,175.811,1505.0,5.626
98,Dusseldorf,Nuremberg,364.744,2171.0,11.672
99,Dresden,Dusseldorf,488.487,2171.0,15.632
100,Mannheim,Hamburg,473.369,1505.0,15.148
101,Nuremberg,Dusseldorf,364.744,2171.0,11.672
102,Hamburg,Mannheim,473.369,1505.0,15.148
103,Mannheim,Berlin,478.686,1505.0,15.318
104,Munster,Stuttgart,398.198,1505.0,12.742
105,Hahn,Stuttgart,199.236,1505.0,6.376
106,Berlin,Mannheim,478.686,1505.0,15.318
107,Stuttgart,Munster,398.198,1505.0,12.742
108,Cologne,Dusseldorf,53.433,2171.0,1.71
109,Berlin,Hamburg,250.379,2171.0,8.012
110,Dortmund,Berlin,414.28,2171.0,13.257
111,Paderborn,Dusseldorf,134.062,1505.0,4.29
112,Leipzig,Berlin,145.371,2171.0,4.652
113,Leipzig,Kassel,197.198,1505.0,6.31
114,Hannover,Berlin,244.14,2171.0,7.812
115,Dusseldorf,Westerland,417.347,1505.0,13.355
116,Westerland,Dusseldorf,417.347,1505.0,13.355
117,Berlin,Munster,383.418,1505.0,12.269
118,Saarbrucken,Kassel,294.011,1505.0,9.408
119,Paderborn,Berlin,335.974,1505.0,10.751
120,Hannover,Hannover,0.0,2171.0,0.0
121,Frankfurt-am-Main,Frankfurt-am-Main,0.0,2171.0,0.0
122,Nuremberg,Hannover,343.47,2171.0,10.991
123,Dresden,Berlin,161.881,2171.0,5.18
124,Berlin,Paderborn,335.974,1505.0,10.751
125,Munich,Munich,0.0,2171.0,0.0
126,Hannover,Leipzig,209.505,2171.0,6.704
127,Cologne,Hannover,249.26,2171.0,7.976
128,Dusseldorf,Dusseldorf,0.0,2171.0,0.0
129,Saarbrucken,Hannover,403.594,1505.0,12.915
130,Berlin,Berlin,26.27,2171.0,0.841
131,Hannover,Saarbrucken,403.594,1505.0,12.915
132,Augsburg,Leipzig,346.25,1505.0,11.08
133,Hamburg,Hannover,131.683,2171.0,4.214
134,Leipzig,Augsburg,346.25,1505.0,11.08
135,Hannover,Cologne,249.26,2171.0,7.976
136,Hannover,Nuremberg,343.47,2171.0,10.991
137,Hannover,Dusseldorf,239.902,2171.0,7.677
138,Munster,Cologne,145.995,1505.0,4.672
139,Cologne,Cologne,0.0,2171.0,0.0
140,Dusseldorf,Hannover,239.902,2171.0,7.677
141,Kassel,Munster,141.772,1505.0,4.537
142,Munster,Kassel,141.772,1505.0,4.537
143,Stuttgart,Stuttgart,0.0,2171.0,0.0
144,Munich,Hahn,373.602,1505.0,11.955
145,Hannover,Augsburg,457.275,1505.0,14.633
146,Hamburg,Kassel,248.965,1505.0,7.967
147,Augsburg,Hannover,457.275,1505.0,14.633
148,Essen,Leipzig,367.439,2171.0,11.758
149,Hamburg,Berlin,250.379,2171.0,8.012
150,Berlin,Hannover,244.14,2171.0,7.812
151,Cologne,Stuttgart,284.269,2171.0,9.097
152,Mannheim,Munich,269.504,1505.0,8.624
153,Munich,Braunschweig,449.451,1505.0,14.382
154,Braunschweig,Mannheim,347.468,1505.0,11.119
155,Hamburg,Hamburg,0.0,2171.0,0.0
156,Munster,Paderborn,86.261,1505.0,2.76
157,Dusseldorf,Munster,114.451,1505.0,3.662
158,Paderborn,Braunschweig,154.46,1505.0,4.943
159,Monchengladbach,Altenburg,419.83,1505.0,13.435
160,Altenburg,Cologne,376.085,1505.0,12.035
161,Dortmund,Hamburg,284.45,2171.0,9.102
162,Hamburg,Hahn,450.512,1505.0,14.416
163,Hahn,Hannover,326.543,1505.0,10.449
164,Cologne,Frankfurt-am-Main,137.068,2171.0,4.386
165,Hahn,Frankfurt-am-Main,94.116,1505.0,3.012
166,Munster,Oberpfaffenhofen,518.49,1505.0,16.592
167,Munster,Dusseldorf,114.451,1505.0,3.662
