,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
168,Oberpfaffenhofen,Munster,518.49,1505.0,16.592
169,Hannover,Paderborn,119.079,1505.0,3.811
170,Hamburg,Dortmund,284.45,2171.0,9.102
171,Dusseldorf,Cologne,53.433,2171.0,1.71
172,Baden-Baden,Dusseldorf,293.753,1505.0,9.4
173,Braunschweig,Paderborn,154.46,1505.0,4.943
174,Paderborn,Hannover,119.079,1505.0,3.811
175,Hannover,Baden-Baden,424.6,1505.0,13.587
176,Frankfurt-am-Main,Cologne,137.068,2171.0,4.386
177,Schwabisch Hall,Schwabisch Hall,0.0,1505.0,0.0
