,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
46,Stuttgart,Dusseldorf,337.664,770.0,10.805
47,Saarbrucken,Berlin,570.784,1016.0,18.265
48,Frankfurt-am-Main,Bremen,335.494,770.0,10.736
49,Dortmund,Munich,461.418,770.0,14.765
50,Munster,Frankfurt-am-Main,241.713,1016.0,7.735
51,Stuttgart,Frankfurt-am-Main,156.642,770.0,5.013
52,Friedrichshafen,Frankfurt-am-Main,271.501,1016.0,8.688
53,Munich,Munster,511.488,1016.0,16.368
54,Frankfurt-am-Main,Hannover,280.756,770.0,8.984
55,Frankfurt-am-Main,Dresden,386.746,770.0,12.376
56,Hamburg,Cologne,363.277,770.0,11.625
57,Kassel,Hamburg,248.965,1016.0,7.967
58,Dusseldorf,Hamburg,340.787,770.0,10.905
59,Frankfurt-am-Main,Leipzig,300.753,770.0,9.624
60,Munich,Bremen,562.91,770.0,18.013
61,Frankfurt-am-Main,Stuttgart,156.642,770.0,5.013
62,Stuttgart,Dresden,423.947,770.0,13.566
63,Nuremberg,Berlin,373.772,770.0,11.961
64,Frankfurt-am-Main,Nuremberg,189.644,770.0,6.069
65,Stuttgart,Braunschweig,414.484,1016.0,13.263
66,Stuttgart,Leipzig,372.387,770.0,11.916
67,Saarbrucken,Hamburg,529.934,1016.0,16.958
68,Hamburg,Stuttgart,551.919,770.0,17.661
69,Friedrichshafen,Dusseldorf,447.894,1016.0,14.333
70,Stuttgart,Bremen,485.492,770.0,15.536
71,Friedrichshafen,Hamburg,663.448,1016.0,21.23
72,Stuttgart,Hamburg,551.919,770.0,17.661
73,Munich,Dresden,340.373,770.0,10.892
74,Munich,Paderborn,427.442,1016.0,13.678
75,Munich,Leipzig,342.888,770.0,10.972
76,Munich,Stuttgart,192.499,770.0,6.16
77,Dresden,Cologne,464.421,770.0,14.861
78,Hannover,Stuttgart,420.5,770.0,13.456
79,Nuremberg,Hamburg,465.54,770.0,14.897
80,Munich,Nuremberg,137.395,770.0,4.397
81,Stuttgart,Hahn,199.236,1016.0,6.376
82,Leipzig,Dusseldorf,380.742,770.0,12.184
83,Munich,Dortmund,461.418,770.0,14.765
84,Munich,Lahr,292.418,1016.0,9.357
85,Baden-Baden,Berlin,557.711,1016.0,17.847
86,Berlin,Nuremberg,373.772,770.0,11.961
87,Berlin,Saarbrucken,570.784,1016.0,18.265
88,Cologne,Hamburg,363.277,770.0,11.625
89,Bremen,Stuttgart,485.492,770.0,15.536
90,Dresden,Stuttgart,423.947,770.0,13.566
91,Hamburg,Friedrichshafen,663.448,1016.0,21.23
92,Frankfurt-am-Main,Munster,241.713,1016.0,7.735
93,Frankfurt-am-Main,Friedrichshafen,271.501,1016.0,8.688
94,Hamburg,Saarbrucken,529.934,1016.0,16.958
95,Frankfurt-am-Main,Dusseldorf,188.621,770.0,6.036
96,Nuremberg,Munich,137.395,770.0,4.397
97,Dusseldorf,Friedrichshafen,447.894,1016.0,14.333
98,Frankfurt-am-Main,Paderborn,175.811,1016.0,5.626
99,Berlin,Leipzig,135.686,770.0,4.342
100,Dusseldorf,Dresden,488.487,770.0,15.632
101,Paderborn,Munster,86.261,1016.0,2.76
102,Egelsbach,Trebbin,402.162,1016.0,12.869
103,Paderborn,Frankfurt-am-Main,175.811,1016.0,5.626
104,Munster,Westerland,311.826,1016.0,9.978
105,Frankfurt-am-Main,Westerland,542.667,1016.0,17.365
106,Dusseldorf,Nuremberg,364.744,770.0,11.672
107,Speyer,Cologne,197.352,1016.0,6.315
108,Dusseldorf,Hannover,239.902,770.0,7.677
109,Dresden,Dusseldorf,488.487,770.0,15.632
110,Mannheim,Hamburg,473.369,1016.0,15.148
111,Berlin,Oberpfaffenhofen,501.407,1016.0,16.045
112,Nuremberg,Dusseldorf,364.744,770.0,11.672
113,Kassel,Munster,141.772,1016.0,4.537
114,Hamburg,Mannheim,473.369,1016.0,15.148
115,Oberpfaffenhofen,Hamburg,623.638,1016.0,19.956
116,Braunschweig,Stuttgart,414.484,1016.0,13.263
117,Mannheim,Berlin,478.686,1016.0,15.318
118,Munster,Stuttgart,398.198,1016.0,12.742
119,Hahn,Stuttgart,199.236,1016.0,6.376
120,Dusseldorf,Monchengladbach,18.467,1016.0,0.591
121,Berlin,Mannheim,478.686,1016.0,15.318
122,Stuttgart,Munster,398.198,1016.0,12.742
123,Cologne,Dusseldorf,53.433,770.0,1.71
124,Frankfurt-am-Main,Saarbrucken,139.166,1016.0,4.453
125,Berlin,Hamburg,250.379,770.0,8.012
126,Speyer,Hamburg,492.859,1016.0,15.771
127,Cologne,Monchengladbach,60.278,1016.0,1.929
128,Zweibrucken,Saarbrucken,21.154,1016.0,0.677
129,Saarbrucken,Zweibrucken,21.154,1016.0,0.677
130,Westerland,Hamburg,178.098,1016.0,5.699
131,Westerland,Berlin,442.525,1016.0,14.161
132,Dortmund,Berlin,414.28,770.0,13.257
133,Hamburg,Westerland,178.098,1016.0,5.699
134,Paderborn,Dusseldorf,134.062,1016.0,4.29
135,Leipzig,Berlin,145.371,770.0,4.652
136,Monchengladbach,Munich,495.809,1016.0,15.866
137,Leipzig,Kassel,197.198,1016.0,6.31
138,Hannover,Berlin,244.14,770.0,7.812
139,Hamburg,Leipzig,288.619,770.0,9.236
140,Dusseldorf,Westerland,417.347,1016.0,13.355
141,Westerland,Munster,311.826,1016.0,9.978
142,Westerland,Dusseldorf,417.347,1016.0,13.355
143,Munster,Paderborn,86.261,1016.0,2.76
144,Berlin,Munster,383.418,1016.0,12.269
145,Saarbrucken,Kassel,294.011,1016.0,9.408
146,Paderborn,Berlin,335.974,1016.0,10.751
147,Baden-Baden,Frankfurt-am-Main,143.862,1016.0,4.604
148,Hannover,Hannover,0.0,770.0,0.0
149,Frankfurt-am-Main,Frankfurt-am-Main,0.0,770.0,0.0
150,Nuremberg,Hannover,343.47,770.0,10.991
151,Dresden,Berlin,161.881,770.0,5.18
152,Koblenz,Saarbrucken,127.165,1016.0,4.069
153,Kassel,Mannheim,225.355,1016.0,7.211
154,Dortmund,Munster,68.72,1016.0,2.199
155,Saarbrucken,Frankfurt-am-Main,139.166,1016.0,4.453
156,Monchengladbach,Cologne,60.278,1016.0,1.929
157,Berlin,Paderborn,335.974,1016.0,10.751
158,Saarbrucken,Koblenz,127.165,1016.0,4.069
159,Stuttgart,Cologne,284.269,770.0,9.097
160,Hof,Dusseldorf,374.879,1016.0,11.996
161,Westerland,Dortmund,380.437,1016.0,12.174
162,Bremen,Berlin,326.547,770.0,10.45
163,Dusseldorf,Hof,374.879,1016.0,11.996
164,Dortmund,Westerland,380.437,1016.0,12.174
165,Hamburg,Speyer,492.859,1016.0,15.771
166,Munich,Munich,0.0,770.0,0.0
167,Stuttgart,Siegerland,238.843,1016.0,7.643
168,Trebbin,Berlin,29.097,1016.0,0.931
169,Hannover,Leipzig,209.505,770.0,6.704
170,Frankfurt-am-Main,Trebbin,400.955,1016.0,12.831
171,Paderborn,Kassel,57.827,1016.0,1.85
172,Cologne,Hannover,249.26,770.0,7.976
173,Kassel,Dresden,305.989,1016.0,9.792
174,Munich,Baden-Baden,276.712,1016.0,8.855
175,Frankfurt-am-Main,Speyer,81.745,1016.0,2.616
176,Baden-Baden,Dusseldorf,293.753,1016.0,9.4
177,Mengen,Munich,181.927,1016.0,5.822
178,Dresden,Kassel,305.989,1016.0,9.792
179,Kassel,Paderborn,57.827,1016.0,1.85
180,Munich,Mengen,181.927,1016.0,5.822
181,Munich,Lubeck,610.714,1016.0,19.543
182,Vilshofen,Werneuchen,446.352,1016.0,14.283
183,Dusseldorf,Dusseldorf,0.0,770.0,0.0
184,Lubeck,Munich,610.714,1016.0,19.543
185,Saarbrucken,Hannover,403.594,1016.0,12.915
186,Paderborn,Bremen,159.799,1016.0,5.114
187,Berlin,Berlin,26.27,770.0,0.841
188,Werneuchen,Vilshofen,446.352,1016.0,14.283
189,Hannover,Nuremberg,343.47,770.0,10.991
190,Hamburg,Hannover,131.683,770.0,4.214
191,Westerland,Stuttgart,694.442,1016.0,22.222
192,Stuttgart,Westerland,694.442,1016.0,22.222
193,Stuttgart,Baden-Baden,84.295,1016.0,2.697
194,Baden-Baden,Stuttgart,84.295,1016.0,2.697
195,Frankfurt-am-Main,Dortmund,178.341,770.0,5.707
196,Straubing,Berlin,391.068,1016.0,12.514
197,Straubing,Hannover,443.24,1016.0,14.184
198,Paderborn,Westerland,367.117,1016.0,11.748
199,Hannover,Saarbrucken,403.594,1016.0,12.915
200,Berlin,Lahr,598.843,1016.0,19.163
201,Oberpfaffenhofen,Dresden,383.757,1016.0,12.28
202,Westerland,Paderborn,367.117,1016.0,11.748
203,Augsburg,Leipzig,346.25,1016.0,11.08
204,Berlin,Dortmund,414.28,770.0,13.257
205,Berlin,Straubing,391.068,1016.0,12.514
206,Memmingen,Memmingen,0.0,1016.0,0.0
207,Dortmund,Memmingen,435.411,1016.0,13.933
208,Leipzig,Augsburg,346.25,1016.0,11.08
209,Lahr,Berlin,598.843,1016.0,19.163
210,Nuremberg,Hahn,278.826,1016.0,8.922
211,Memmingen,Dortmund,435.411,1016.0,13.933
212,Munich,Speyer,265.861,1016.0,8.508
213,Hannover,Hahn,326.543,1016.0,10.449
214,Cologne,Frankfurt-am-Main,137.068,770.0,4.386
215,Leipzig,Leipzig,0.0,770.0,0.0
216,Hannover,Cologne,249.26,770.0,7.976
217,Trebbin,Egelsbach,402.162,1016.0,12.869
218,Hannover,Dusseldorf,239.902,770.0,7.677
219,Dresden,Leipzig,111.289,770.0,3.561
220,Leipzig,Hamburg,288.619,770.0,9.236
221,Zweibrucken,Siegerland,173.612,1016.0,5.556
222,Frankfurt-am-Main,Cologne,137.068,770.0,4.386
223,Hahn,Hahn,0.0,1016.0,0.0
224,Egelsbach,Vilshofen,361.557,1016.0,11.57
225,Bremen,Hamburg,102.781,770.0,3.289
226,Baden-Baden,Baden-Baden,0.0,1016.0,0.0
227,Hof,Berlin,257.325,1016.0,8.234
228,Cologne,Hahn,102.643,1016.0,3.285
229,Dortmund,Frankfurt-am-Main,178.341,770.0,5.707
230,Berlin,Hof,257.325,1016.0,8.234
231,Munster,Cologne,145.995,1016.0,4.672
232,Cologne,Cologne,0.0,770.0,0.0
233,Munster,Kassel,141.772,1016.0,4.537
234,Mannheim,Munster,301.673,1016.0,9.654
235,Speyer,Munich,265.861,1016.0,8.508
236,Straubing,Straubing,0.0,1016.0,0.0
237,Stuttgart,Stuttgart,0.0,770.0,0.0
238,Mannheim,Lahr,132.567,1016.0,4.242
239,Oberpfaffenhofen,Dusseldorf,482.103,1016.0,15.427
240,Lahr,Monchengladbach,332.001,1016.0,10.624
241,Munich,Hahn,373.602,1016.0,11.955
242,Monchengladbach,Westerland,427.335,1016.0,13.675
243,Dusseldorf,Munster,114.451,1016.0,3.662
244,Dresden,Hamburg,377.829,770.0,12.091
245,Koblenz,Munich,378.342,1016.0,12.107
246,Westerland,Frankfurt-am-Main,542.667,1016.0,17.365
247,Munster,Leipzig,322.896,1016.0,10.333
248,Munich,Koblenz,378.342,1016.0,12.107
249,Oberpfaffenhofen,Bremen,579.581,1016.0,18.547
250,Hannover,Augsburg,457.275,1016.0,14.633
251,Frankfurt-am-Main,Braunschweig,289.511,1016.0,9.264
252,Hahn,Mannheim,104.331,1016.0,3.339
253,Leipzig,Essen,367.439,770.0,11.758
254,Hamburg,Kassel,248.965,1016.0,7.967
255,Dusseldorf,Paderborn,134.062,1016.0,4.29
256,Cologne,Lahr,281.965,1016.0,9.023
257,Lahr,Mannheim,132.567,1016.0,4.242
258,Memmingen,Dusseldorf,443.598,1016.0,14.195
259,Hof,Nuremberg,104.015,1016.0,3.328
260,Nuremberg,Westerland,629.985,1016.0,20.16
261,Westerland,Leipzig,466.509,1016.0,14.928
262,Frankfurt-am-Main,Baden-Baden,143.862,1016.0,4.604
263,Leipzig,Hof,129.014,1016.0,4.128
264,Augsburg,Hannover,457.275,1016.0,14.633
265,Essen,Leipzig,367.439,770.0,11.758
266,Hamburg,Berlin,250.379,770.0,8.012
267,Leipzig,Mannheim,341.292,1016.0,10.921
268,Munster,Monchengladbach,129.362,1016.0,4.14
269,Berlin,Hannover,244.14,770.0,7.812
270,Mannheim,Munich,269.504,1016.0,8.624
271,Munich,Braunschweig,449.451,1016.0,14.382
272,Munster,Dresden,434.184,1016.0,13.894
273,Braunschweig,Mannheim,347.468,1016.0,11.119
274,Oberpfaffenhofen,Augsburg,46.25,1016.0,1.48
275,Braunschweig,Hamburg,150.681,1016.0,4.822
276,Dusseldorf,Egelsbach,198.008,1016.0,6.336
277,Hof,Barth,453.974,1016.0,14.527
278,Munster,Berlin,396.63,1016.0,12.692
279,Vilshofen,Paderborn,464.892,1016.0,14.877
280,Koblenz,Hahn,46.329,1016.0,1.483
281,Hahn,Koblenz,46.329,1016.0,1.483
282,Hamburg,Hamburg,0.0,770.0,0.0
283,Berlin,Hahn,510.027,1016.0,16.321
284,Barth,Hof,453.974,1016.0,14.527
285,Paderborn,Vilshofen,464.892,1016.0,14.877
286,Egelsbach,Dusseldorf,198.008,1016.0,6.336
287,Munich,Oberpfaffenhofen,48.034,1016.0,1.537
288,Kassel,Oberpfaffenhofen,395.362,1016.0,12.652
289,Koblenz,Berlin,472.382,1016.0,15.116
290,Dortmund,Nuremberg,332.359,770.0,10.635
291,Berlin,Egelsbach,431.256,1016.0,13.8
292,Paderborn,Hof,270.487,1016.0,8.656
293,Mannheim,Monchengladbach,241.896,1016.0,7.741
294,Munich,Mainz,319.658,1016.0,10.229
295,Kassel,Berlin,300.685,1016.0,9.622
296,Paderborn,Braunschweig,154.46,1016.0,4.943
297,Monchengladbach,Altenburg,419.83,1016.0,13.435
298,Mainz,Munich,319.658,1016.0,10.229
299,Munster,Dusseldorf,114.451,1016.0,3.662
300,Zweibrucken,Paderborn,280.92,1016.0,8.989
301,Landshut,Munich,25.308,1016.0,0.81
302,Hof,Paderborn,270.487,1016.0,8.656
303,Altenburg,Cologne,376.085,1016.0,12.035
304,Berlin,Kassel,300.685,1016.0,9.622
305,Dortmund,Hamburg,284.45,770.0,9.102
306,Hamburg,Hahn,450.512,1016.0,14.416
307,Hahn,Hannover,326.543,1016.0,10.449
308,Hahn,Frankfurt-am-Main,94.116,1016.0,3.012
309,Monchengladbach,Baden-Baden,294.865,1016.0,9.436
310,Munster,Oberpfaffenhofen,518.49,1016.0,16.592
311,Baden-Baden,Lubeck,588.09,1016.0,18.819
312,Lubeck,Dortmund,329.44,1016.0,10.542
313,Augsburg,Nuremberg,119.827,1016.0,3.834
314,Oberpfaffenhofen,Munster,518.49,1016.0,16.592
315,Nuremberg,Leipzig,229.239,770.0,7.336
316,Leipzig,Dresden,111.289,770.0,3.561
317,Mannheim,Koblenz,118.213,1016.0,3.783
318,Hannover,Paderborn,119.079,1016.0,3.811
319,Egelsbach,Leipzig,300.935,1016.0,9.63
320,Berlin,Westerland,442.525,1016.0,14.161
321,Hamburg,Dortmund,284.45,770.0,9.102
322,Dusseldorf,Cologne,53.433,770.0,1.71
323,Siegerland,Leipzig,300.904,1016.0,9.629
324,Nuremberg,Nuremberg,0.0,770.0,0.0
325,Nuremberg,Stuttgart,162.318,770.0,5.194
326,Munster,Friedrichshafen,513.208,1016.0,16.423
327,Friedrichshafen,Munster,513.208,1016.0,16.423
328,Braunschweig,Paderborn,154.46,1016.0,4.943
329,Paderborn,Hannover,119.079,1016.0,3.811
330,Bremen,Kassel,185.517,1016.0,5.937
331,Kassel,Munich,381.674,1016.0,12.214
332,Leipzig,Friedrichshafen,461.173,1016.0,14.758
333,Oberpfaffenhofen,Westerland,786.117,1016.0,25.156
334,Hannover,Baden-Baden,424.6,1016.0,13.587
335,Bremen,Lubeck,153.27,1016.0,4.905
336,Friedrichshafen,Leipzig,461.173,1016.0,14.758
337,Nuremberg,Dresden,263.722,770.0,8.439
338,Leipzig,Nuremberg,229.239,770.0,7.336
339,Lubeck,Berlin,245.44,1016.0,7.854
340,Vilshofen,Hamburg,598.654,1016.0,19.157
341,Osnabruck,Munster,25.906,1016.0,0.829
342,Berlin,Bremen,326.547,770.0,10.45
343,Braunschweig,Leipzig,152.243,1016.0,4.872
344,Hof,Aalen,203.47,1016.0,6.511
345,Hahn,Berlin,511.171,1016.0,16.357
346,Hamburg,Vilshofen,598.654,1016.0,19.157
347,Paderborn,Dortmund,70.221,1016.0,2.247
348,Aalen,Berlin,459.33,1016.0,14.699
349,Stuttgart,Erfurt,283.402,1016.0,9.069
350,Berlin,Aalen,459.33,1016.0,14.699
351,Aalen,Hof,203.47,1016.0,6.511
352,Zweibrucken,Stuttgart,145.0,1016.0,4.64
353,Hannover,Monchengladbach,257.649,1016.0,8.245
354,Leipzig,Westerland,466.509,1016.0,14.928
355,Westerland,Trebbin,437.89,1016.0,14.012
356,Schwabisch Hall,Schwabisch Hall,0.0,1016.0,0.0
357,Siegerland,Hannover,224.048,1016.0,7.17
358,Paderborn,Baden-Baden,317.505,1016.0,10.16
359,Dusseldorf,Speyer,250.773,1016.0,8.025
360,Munich,Egelsbach,290.171,1016.0,9.285
361,Baden-Baden,Paderborn,317.505,1016.0,10.16
362,Lahr,Munich,292.418,1016.0,9.357
363,Westerland,Oberpfaffenhofen,786.117,1016.0,25.156
364,Westerland,Cologne,457.003,1016.0,14.624
365,Memmingen,Bremen,571.761,1016.0,18.296
366,Cologne,Dortmund,79.589,770.0,2.547
367,Bremen,Nuremberg,425.54,770.0,13.617
