,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
0,Leipzig,Cologne,360.623,770.0,11.54
1,Cologne,Leipzig,360.623,770.0,11.54
2,Leipzig,Frankfurt-am-Main,300.753,770.0,9.624
3,Cologne,Berlin,469.266,770.0,15.017
4,Cologne,Munich,435.688,770.0,13.942
5,Leipzig,Munich,342.888,770.0,10.972
6,Leipzig,Stuttgart,372.387,770.0,11.916
7,Hannover,Hamburg,131.683,770.0,4.214
8,Cologne,Stuttgart,284.269,770.0,9.097
9,Hannover,Munich,480.251,770.0,15.368
10,Munster,Munich,511.488,1016.0,16.368
11,Munich,Frankfurt-am-Main,299.073,770.0,9.57
12,Stuttgart,Berlin,516.935,770.0,16.542
13,Dresden,Munich,340.373,770.0,10.892
14,Bremen,Munich,562.91,770.0,18.013
15,Stuttgart,Munich,192.499,770.0,6.16
16,Hamburg,Frankfurt-am-Main,411.635,770.0,13.172
17,Paderborn,Munich,427.442,1016.0,13.678
18,Frankfurt-am-Main,Berlin,431.689,770.0,13.814
19,Hannover,Frankfurt-am-Main,280.756,770.0,8.984
20,Munich,Berlin,479.569,770.0,15.346
21,Frankfurt-am-Main,Munich,299.073,770.0,9.57
22,Berlin,Munich,479.569,770.0,15.346
23,Hamburg,Munich,599.997,770.0,19.2
24,Munich,Hamburg,599.997,770.0,19.2
25,Dusseldorf,Frankfurt-am-Main,188.621,770.0,6.036
26,Berlin,Dusseldorf,469.707,770.0,15.031
27,Dusseldorf,Berlin,469.707,770.0,15.031
28,Munich,Cologne,435.688,770.0,13.942
29,Dusseldorf,Stuttgart,337.664,770.0,10.805
30,Dusseldorf,Munich,485.703,770.0,15.542
31,Frankfurt-am-Main,Hamburg,411.635,770.0,13.172
32,Berlin,Frankfurt-am-Main,431.689,770.0,13.814
33,Nuremberg,Frankfurt-am-Main,189.644,770.0,6.069
34,Berlin,Stuttgart,516.935,770.0,16.542
35,Berlin,Baden-Baden,557.711,1016.0,17.847
36,Dresden,Frankfurt-am-Main,386.746,770.0,12.376
37,Munich,Hannover,480.251,770.0,15.368
38,Hamburg,Nuremberg,465.54,770.0,14.897
39,Cologne,Dresden,464.421,770.0,14.861
40,Bremen,Frankfurt-am-Main,335.494,770.0,10.736
41,Dusseldorf,Leipzig,380.742,770.0,12.184
42,Berlin,Cologne,463.183,770.0,14.822
43,Stuttgart,Hannover,420.5,770.0,13.456
44,Hamburg,Dusseldorf,340.787,770.0,10.905
45,Munich,Dusseldorf,485.703,770.0,15.542
