,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
237,Stuttgart,Stuttgart,0.0,1796.0,0.0
238,Mannheim,Lahr,132.567,436.0,5.899
239,Oberpfaffenhofen,Dusseldorf,482.103,436.0,21.454
240,Lahr,Monchengladbach,332.001,436.0,14.774
241,Munich,Hahn,373.602,436.0,16.625
242,Monchengladbach,Westerland,427.335,436.0,19.016
243,Dusseldorf,Munster,114.451,436.0,5.093
244,Dresden,Hamburg,377.829,1796.0,16.813
245,Koblenz,Munich,378.342,436.0,16.836
246,Westerland,Frankfurt-am-Main,542.667,436.0,24.149
247,Munster,Leipzig,322.896,436.0,14.369
248,Munich,Koblenz,378.342,436.0,16.836
249,Oberpfaffenhofen,Bremen,579.581,436.0,25.791
250,Hannover,Augsburg,457.275,436.0,20.349
251,Frankfurt-am-Main,Braunschweig,289.511,436.0,12.883
252,Hahn,Mannheim,104.331,436.0,4.643
253,Leipzig,Essen,367.439,1796.0,16.351
254,Hamburg,Kassel,248.965,436.0,11.079
255,Dusseldorf,Paderborn,134.062,436.0,5.966
256,Cologne,Lahr,281.965,436.0,12.547
257,Lahr,Mannheim,132.567,436.0,5.899
258,Memmingen,Dusseldorf,443.598,436.0,19.74
259,Hof,Nuremberg,104.015,436.0,4.629
260,Nuremberg,Westerland,629.985,436.0,28.034
261,Westerland,Leipzig,466.509,436.0,20.76
262,Frankfurt-am-Main,Baden-Baden,143.862,436.0,6.402
263,Leipzig,Hof,129.014,436.0,5.741
264,Augsburg,Hannover,457.275,436.0,20.349
265,Essen,Leipzig,367.439,1796.0,16.351
266,Hamburg,Berlin,250.379,1796.0,11.142
267,Leipzig,Mannheim,341.292,436.0,15.187
268,Munster,Monchengladbach,129.362,436.0,5.757
269,Berlin,Hannover,244.14,1796.0,10.864
270,Mannheim,Munich,269.504,436.0,11.993
271,Munich,Braunschweig,449.451,436.0,20.001
272,Munster,Dresden,434.184,436.0,19.321
273,Braunschweig,Mannheim,347.468,436.0,15.462
274,Oberpfaffenhofen,Augsburg,46.25,436.0,2.058
275,Braunschweig,Hamburg,150.681,436.0,6.705
276,Dusseldorf,Egelsbach,198.008,436.0,8.811
277,Hof,Barth,453.974,436.0,20.202
278,Munster,Berlin,396.63,436.0,17.65
279,Vilshofen,Paderborn,464.892,436.0,20.688
280,Koblenz,Hahn,46.329,436.0,2.062
281,Hahn,Koblenz,46.329,436.0,2.062
282,Hamburg,Hamburg,0.0,1796.0,0.0
283,Berlin,Hahn,510.027,436.0,22.696
284,Barth,Hof,453.974,436.0,20.202
285,Paderborn,Vilshofen,464.892,436.0,20.688
286,Egelsbach,Dusseldorf,198.008,436.0,8.811
287,Munich,Oberpfaffenhofen,48.034,436.0,2.137
288,Kassel,Oberpfaffenhofen,395.362,436.0,17.594
289,Koblenz,Berlin,472.382,436.0,21.021
290,Dortmund,Nuremberg,332.359,1796.0,14.79
291,Berlin,Egelsbach,431.256,436.0,19.191
292,Paderborn,Hof,270.487,436.0,12.037
293,Mannheim,Monchengladbach,241.896,436.0,10.764
294,Munich,Mainz,319.658,436.0,14.225
295,Kassel,Berlin,300.685,436.0,13.38
296,Paderborn,Braunschweig,154.46,436.0,6.873
297,Monchengladbach,Altenburg,419.83,436.0,18.682
298,Mainz,Munich,319.658,436.0,14.225
299,Munster,Dusseldorf,114.451,436.0,5.093
300,Zweibrucken,Paderborn,280.92,436.0,12.501
301,Landshut,Munich,25.308,436.0,1.126
302,Hof,Paderborn,270.487,436.0,12.037
303,Altenburg,Cologne,376.085,436.0,16.736
304,Berlin,Kassel,300.685,436.0,13.38
305,Dortmund,Hamburg,284.45,1796.0,12.658
306,Hamburg,Hahn,450.512,436.0,20.048
307,Hahn,Hannover,326.543,436.0,14.531
308,Hahn,Frankfurt-am-Main,94.116,436.0,4.188
309,Monchengladbach,Baden-Baden,294.865,436.0,13.121
310,Munster,Oberpfaffenhofen,518.49,436.0,23.073
311,Baden-Baden,Lubeck,588.09,436.0,26.17
312,Lubeck,Dortmund,329.44,436.0,14.66
313,Augsburg,Nuremberg,119.827,436.0,5.332
314,Oberpfaffenhofen,Munster,518.49,436.0,23.073
315,Nuremberg,Leipzig,229.239,1796.0,10.201
316,Leipzig,Dresden,111.289,1796.0,4.952
317,Mannheim,Koblenz,118.213,436.0,5.26
318,Hannover,Paderborn,119.079,436.0,5.299
319,Egelsbach,Leipzig,300.935,436.0,13.392
320,Berlin,Westerland,442.525,436.0,19.692
321,Hamburg,Dortmund,284.45,1796.0,12.658
322,Dusseldorf,Cologne,53.433,1796.0,2.378
323,Siegerland,Leipzig,300.904,436.0,13.39
324,Nuremberg,Nuremberg,0.0,1796.0,0.0
325,Nuremberg,Stuttgart,162.318,1796.0,7.223
326,Munster,Friedrichshafen,513.208,436.0,22.838
327,Friedrichshafen,Munster,513.208,436.0,22.838
328,Braunschweig,Paderborn,154.46,436.0,6.873
329,Paderborn,Hannover,119.079,436.0,5.299
330,Bremen,Kassel,185.517,436.0,8.256
331,Kassel,Munich,381.674,436.0,16.984
332,Leipzig,Friedrichshafen,461.173,436.0,20.522
333,Oberpfaffenhofen,Westerland,786.117,436.0,34.982
334,Hannover,Baden-Baden,424.6,436.0,18.895
335,Bremen,Lubeck,153.27,436.0,6.821
336,Friedrichshafen,Leipzig,461.173,436.0,20.522
337,Nuremberg,Dresden,263.722,1796.0,11.736
338,Leipzig,Nuremberg,229.239,1796.0,10.201
339,Lubeck,Berlin,245.44,436.0,10.922
340,Vilshofen,Hamburg,598.654,436.0,26.64
341,Osnabruck,Munster,25.906,436.0,1.153
342,Berlin,Bremen,326.547,1796.0,14.531
343,Braunschweig,Leipzig,152.243,436.0,6.775
344,Hof,Aalen,203.47,436.0,9.054
345,Hahn,Berlin,511.171,436.0,22.747
346,Hamburg,Vilshofen,598.654,436.0,26.64
347,Paderborn,Dortmund,70.221,436.0,3.125
348,Aalen,Berlin,459.33,436.0,20.44
349,Stuttgart,Erfurt,283.402,436.0,12.611
350,Berlin,Aalen,459.33,436.0,20.44
351,Aalen,Hof,203.47,436.0,9.054
352,Zweibrucken,Stuttgart,145.0,436.0,6.452
353,Hannover,Monchengladbach,257.649,436.0,11.465
354,Leipzig,Westerland,466.509,436.0,20.76
355,Westerland,Trebbin,437.89,436.0,19.486
356,Schwabisch Hall,Schwabisch Hall,0.0,436.0,0.0
357,Siegerland,Hannover,224.048,436.0,9.97
358,Paderborn,Baden-Baden,317.505,436.0,14.129
359,Dusseldorf,Speyer,250.773,436.0,11.159
360,Munich,Egelsbach,290.171,436.0,12.913
361,Baden-Baden,Paderborn,317.505,436.0,14.129
362,Lahr,Munich,292.418,436.0,13.013
363,Westerland,Oberpfaffenhofen,786.117,436.0,34.982
364,Westerland,Cologne,457.003,436.0,20.337
365,Memmingen,Bremen,571.761,436.0,25.443
366,Cologne,Dortmund,79.589,1796.0,3.542
367,Bremen,Nuremberg,425.54,1796.0,18.937
