,Ville_1,Ville_2,Distance (km),Places dispo par jour,Emissions_CO2 (kg/passager)
115,Oberpfaffenhofen,Hamburg,623.638,389.0,19.956
116,Braunschweig,Stuttgart,414.484,389.0,13.263
117,Mannheim,Berlin,478.686,389.0,15.318
118,Munster,Stuttgart,398.198,389.0,12.742
119,Hahn,Stuttgart,199.236,389.0,6.376
120,Dusseldorf,Monchengladbach,18.467,389.0,0.591
121,Berlin,Mannheim,478.686,389.0,15.318
122,Stuttgart,Munster,398.198,389.0,12.742
123,Cologne,Dusseldorf,53.433,295.0,1.71
124,Frankfurt-am-Main,Saarbrucken,139.166,389.0,4.453
125,Berlin,Hamburg,250.379,295.0,8.012
126,Speyer,Hamburg,492.859,389.0,15.771
127,Cologne,Monchengladbach,60.278,389.0,1.929
128,Zweibrucken,Saarbrucken,21.154,389.0,0.677
129,Saarbrucken,Zweibrucken,21.154,389.0,0.677
130,Westerland,Hamburg,178.098,389.0,5.699
131,Westerland,Berlin,442.525,389.0,14.161
132,Dortmund,Berlin,414.28,295.0,13.257
133,Hamburg,Westerland,178.098,389.0,5.699
134,Paderborn,Dusseldorf,134.062,389.0,4.29
135,Leipzig,Berlin,145.371,295.0,4.652
136,Monchengladbach,Munich,495.809,389.0,15.866
137,Leipzig,Kassel,197.198,389.0,6.31
138,Hannover,Berlin,244.14,295.0,7.812
139,Hamburg,Leipzig,288.619,295.0,9.236
140,Dusseldorf,Westerland,417.347,389.0,13.355
141,Westerland,Munster,311.826,389.0,9.978
142,Westerland,Dusseldorf,417.347,389.0,13.355
143,Munster,Paderborn,86.261,389.0,2.76
144,Berlin,Munster,383.418,389.0,12.269
145,Saarbrucken,Kassel,294.011,389.0,9.408
146,Paderborn,Berlin,335.974,389.0,10.751
147,Baden-Baden,Frankfurt-am-Main,143.862,389.0,4.604
148,Hannover,Hannover,0.0,295.0,0.0
149,Frankfurt-am-Main,Frankfurt-am-Main,0.0,295.0,0.0
150,Nuremberg,Hannover,343.47,295.0,10.991
151,Dresden,Berlin,161.881,295.0,5.18
152,Koblenz,Saarbrucken,127.165,389.0,4.069
153,Kassel,Mannheim,225.355,389.0,7.211
154,Dortmund,Munster,68.72,389.0,2.199
155,Saarbrucken,Frankfurt-am-Main,139.166,389.0,4.453
156,Monchengladbach,Cologne,60.278,389.0,1.929
157,Berlin,Paderborn,335.974,389.0,10.751
158,Saarbrucken,Koblenz,127.165,389.0,4.069
159,Stuttgart,Cologne,284.269,295.0,9.097
160,Hof,Dusseldorf,374.879,389.0,11.996
161,Westerland,Dortmund,380.437,389.0,12.174
162,Bremen,Berlin,326.547,295.0,10.45
163,Dusseldorf,Hof,374.879,389.0,11.996
164,Dortmund,Westerland,380.437,389.0,12.174
165,Hamburg,Speyer,492.859,389.0,15.771
166,Munich,Munich,0.0,295.0,0.0
167,Stuttgart,Siegerland,238.843,389.0,7.643
168,Trebbin,Berlin,29.097,389.0,0.931
169,Hannover,Leipzig,209.505,295.0,6.704
170,Frankfurt-am-Main,Trebbin,400.955,389.0,12.831
171,Paderborn,Kassel,57.827,389.0,1.85
172,Cologne,Hannover,249.26,295.0,7.976
173,Kassel,Dresden,305.989,389.0,9.792
174,Munich,Baden-Baden,276.712,389.0,8.855
175,Frankfurt-am-Main,Speyer,81.745,389.0,2.616
176,Baden-Baden,Dusseldorf,293.753,389.0,9.4
177,Mengen,Munich,181.927,389.0,5.822
178,Dresden,Kassel,305.989,389.0,9.792
179,Kassel,Paderborn,57.827,389.0,1.85
180,Munich,Mengen,181.927,389.0,5.822
181,Munich,Lubeck,610.714,389.0,19.543
182,Vilshofen,Werneuchen,446.352,389.0,14.283
183,Dusseldorf,Dusseldorf,0.0,295.0,0.0
184,Lubeck,Munich,610.714,389.0,19.543
185,Saarbrucken,Hannover,403.594,389.0,12.915
186,Paderborn,Bremen,159.799,389.0,5.114
187,Berlin,Berlin,26.27,295.0,0.841
188,Werneuchen,Vilshofen,446.352,389.0,14.283
